 # Date: Fri May  8 10:11:08 2026
 # Fr =                  Infinity
 # tau =   1.0000000000000000      , uO =   0.0000000000000000     
 # Iteration No.:           61
 # Lx =***    Ly =   5
 #      Results of the computations
 # x   y     h(i,j)      u(i,j)      v(i,j)
 #------------------------------------------
   1   1    0.000000    Infinity         NaN
   1   2    0.000000    Infinity         NaN
   1   3    0.000000    Infinity         NaN
   1   4    0.000000    Infinity         NaN
   1   5    0.000000    Infinity         NaN
   2   1************ 2100.070653    0.000000
   2   2************ 2100.070653    0.000000
   2   3************ 2100.070653    0.000000
   2   4************ 2100.070653    0.000000
   2   5************ 2100.070653    0.000000
   3   1************ 2100.000001    0.000000
   3   2************ 2100.000001    0.000000
   3   3************ 2100.000001    0.000000
   3   4************ 2100.000001    0.000000
   3   5************ 2100.000001    0.000000
   4   1************ 2100.000012    0.000000
   4   2************ 2100.000012    0.000000
   4   3************ 2100.000012    0.000000
   4   4************ 2100.000012    0.000000
   4   5************ 2100.000012    0.000000
   5   125986.943881 2121.560307    0.000000
  99   3    2.000000    0.000000    0.000000
  99   4    2.000000    0.000000    0.000000
  99   5    2.000000    0.000000    0.000000
 100   1    2.000000    0.000000    0.000000
 100   2    2.000000    0.000000    0.000000
 100   3    2.000000    0.000000    0.000000
 100   4    2.000000    0.000000    0.000000
 100   5    2.000000    0.000000    0.000000
 101   1    2.000000    0.000000    0.000000
 101   2    2.000000    0.000000    0.000000
 101   3    2.000000    0.000000    0.000000
 101   4    2.000000    0.000000    0.000000
 101   5    2.000000    0.000000    0.000000
 102   1    2.000000    0.000000    0.000000
 102   2    2.000000    0.000000    0.000000
 102   3    2.000000    0.000000    0.000000
 102   4    2.000000    0.000000    0.000000
 102   5    2.000000    0.000000    0.000000
 103   1    2.000000    0.000000    0.000000
 103   2    2.000000    0.000000    0.000000
 103   3    2.000000    0.000000    0.000000
 103   4    2.000000    0.000000    0.000000
 103   5    2.000000    0.000000    0.000000
 104   1    2.000000    0.000000    0.000000
 104   2    2.000000    0.000000    0.000000
 104   3    2.000000    0.000000    0.000000
 104   4    2.000000    0.000000    0.000000
 104   5    2.000000    0.000000    0.000000
 105   1    2.000000    0.000000    0.000000
 105   2    2.000000    0.000000    0.000000
 105   3    2.000000    0.000000    0.000000
 105   4    2.000000    0.000000    0.000000
 105   5    2.000000    0.000000    0.000000
 106   1    2.000000    0.000000    0.000000
 106   2    2.000000    0.000000    0.000000
 106   3    2.000000    0.000000    0.000000
 106   4    2.000000    0.000000    0.000000
 106   5    2.000000    0.000000    0.000000
 107   1    2.000000    0.000000    0.000000
 107   2    2.000000    0.000000    0.000000
 107   3    2.000000    0.000000    0.000000
 107   4    2.000000    0.000000    0.000000
 107   5    2.000000    0.000000    0.000000
 108   1    2.000000    0.000000    0.000000
 108   2    2.000000    0.000000    0.000000
 108   3    2.000000    0.000000    0.000000
 108   4    2.000000    0.000000    0.000000
 108   5    2.000000    0.000000    0.000000
 109   1    2.000000    0.000000    0.000000
 109   2    2.000000    0.000000    0.000000
 109   3    2.000000    0.000000    0.000000
 109   4    2.000000    0.000000    0.000000
 109   5    2.000000    0.000000    0.000000
 110   1    2.000000    0.000000    0.000000
 110   2    2.000000    0.000000    0.000000
 110   3    2.000000    0.000000    0.000000
 110   4    2.000000    0.000000    0.000000
 110   5    2.000000    0.000000    0.000000
 111   1    2.000000    0.000000    0.000000
 111   2    2.000000    0.000000    0.000000
 111   3    2.000000    0.000000    0.000000
 111   4    2.000000    0.000000    0.000000
 111   5    2.000000    0.000000    0.000000
 112   1    2.000000    0.000000    0.000000
 112   2    2.000000    0.000000    0.000000
 112   3    2.000000    0.000000    0.000000
 112   4    2.000000    0.000000    0.000000
 112   5    2.000000    0.000000    0.000000
 113   1    2.000000    0.000000    0.000000
 113   2    2.000000    0.000000    0.000000
 113   3    2.000000    0.000000    0.000000
 113   4    2.000000    0.000000    0.000000
 113   5    2.000000    0.000000    0.000000
 114   1    2.000000    0.000000    0.000000
 114   2    2.000000    0.000000    0.000000
 114   3    2.000000    0.000000    0.000000
 114   4    2.000000    0.000000    0.000000
 114   5    2.000000    0.000000    0.000000
 115   1    2.000000    0.000000    0.000000
 115   2    2.000000    0.000000    0.000000
 115   3    2.000000    0.000000    0.000000
 115   4    2.000000    0.000000    0.000000
 115   5    2.000000    0.000000    0.000000
 116   1    2.000000    0.000000    0.000000
 116   2    2.000000    0.000000    0.000000
 116   3    2.000000    0.000000    0.000000
 116   4    2.000000    0.000000    0.000000
 116   5    2.000000    0.000000    0.000000
 117   1    2.000000    0.000000    0.000000
 117   2    2.000000    0.000000    0.000000
 117   3    2.000000    0.000000    0.000000
 117   4    2.000000    0.000000    0.000000
 117   5    2.000000    0.000000    0.000000
 118   1    2.000000    0.000000    0.000000
 118   2    2.000000    0.000000    0.000000
 118   3    2.000000    0.000000    0.000000
 118   4    2.000000    0.000000    0.000000
 118   5    2.000000    0.000000    0.000000
 119   1    2.000000    0.000000    0.000000
 119   2    2.000000    0.000000    0.000000
 119   3    2.000000    0.000000    0.000000
 119   4    2.000000    0.000000    0.000000
 119   5    2.000000    0.000000    0.000000
 120   1    2.000000    0.000000    0.000000
 120   2    2.000000    0.000000    0.000000
 120   3    2.000000    0.000000    0.000000
 120   4    2.000000    0.000000    0.000000
 120   5    2.000000    0.000000    0.000000
